NAME,TOTAL,FINE,FEE,Z FEE,COST,SURCHARGE,STF,BIPSA,MF,PLUS,CATEGORY,DESCRIPTION
14-18(c),117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,"Violations concerning mutilated or illegible plates, report of lost plates, improper attachments on plates"
14-18(d),117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to return plates on expiration of registration
14-18(e)*,117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Improper use or display of a sample number plate
14-18(f),117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Willful damage to number plates
14-20a,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to return firefighter plates
14-21b(c),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to display reflectorized safety number plates
14-26(a),117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,"NO REGISTRATION for motor bus, taxicab, school bus or motor vehicle in livery service; IMPROPER use of registration; FAILURE TO KEEP RECORD of operator"
14-26(b),117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,"Failure to CARRY REGISTRATION for motor bus, service bus, taxicab, school bus or motor vehicle in liv- ery service (1st offense)"
14-26(b)*,117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,"Failure to carry registration for motor bus, service bus, taxicab, school bus or motor vehicle in livery service (subsequent offense)"
14-27(a),117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Motor bus-failure to display Connecticut number plates
14-27(b),117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Interstate motorbus-failure to display Connecticut number plates
14-27(c),117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Taxicab-failure to display Connecticut number plates
14-27(d),117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Livery Service vehicle-failure to display Connecticut number plates
14-27(e),117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Interstate livery service vehicle-failure to display Connecticut number plates
14-27(f),117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,School bus-failure to display Connecticut number plate
14-27a,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Vanpool-failure to display Connecticut number plates
14-34a(e),500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Operating in violation of registration requirements-commercial motor vehicles with gross weight of 60,000 lbs or less (1st offense)"
14-34a(e)*,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Operating in violation of registration requirements-commercial motor vehicles with gross weight of 60,000 lbs. or less (subsequent offense)"
14-34a(e)**,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Operating in violation of registration requirements-commercial motor vehicles with gross weight exceeding 60,000 lbs. (1st offense)"
14-34a(e)***,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Operating in violation of registration requirements-commercial motor vehicles with gross weight exceeding 60,000 lbs. (subsequent offense)"
14-35(d),375.0,250.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,MOTOR VEHICLES,Violation of MOTOR VEHICLE TRANSPORTER'S REGISTRATION regulation
14-36(a),158.0,75.0,10.0,0.0,0.0,35.0,38.0,0.0,0.0,0.0,MOTOR VEHICLES,Operating motor vehicle other than motorcycle WITHOUT A LICENSE (1st offense)
14-36(b)(1)++,158.0,75.0,10.0,0.0,0.0,35.0,38.0,0.0,0.0,0.0,MOTOR VEHICLES,"Operation of motor vehicle by a person eighteen years of age or older who does not hold a motor vehicle operator s license, without an adult instruction permit"
14-36(b)(2),158.0,75.0,10.0,0.0,0.0,35.0,38.0,0.0,0.0,0.0,MOTOR VEHICLES,Operation of motor vehicle with valid OUT-OF-STATE license BEYOND 30 DAYS
14-36(b)(3),158.0,75.0,10.0,0.0,0.0,35.0,38.0,0.0,0.0,0.0,MOTOR VEHICLES,Allowing person under sixteen years to operate a motor vehicle (1st offense)
14-36(c)(2),158.0,75.0,10.0,0.0,0.0,35.0,38.0,0.0,0.0,0.0,MOTOR VEHICLES,"Operation of a motor vehicle by a person 16 or 17 years of age without having learners permit in immediate possession (1st offense)(effective through December 31, 2012)"
14-36(c)(2)+,158.0,75.0,10.0,0.0,0.0,35.0,38.0,0.0,0.0,0.0,MOTOR VEHICLES,Operation of a motor vehicle without proper instructor (1st offense)
14-36(c)(2)++,158.0,75.0,10.0,0.0,0.0,35.0,38.0,0.0,0.0,0.0,MOTOR VEHICLES,Operation of a motor vehicle by a person 16 or 17 years of age without having a youth instruction permit in immediate possession (1st offense)
14-36(c)(3),158.0,75.0,10.0,0.0,0.0,35.0,38.0,0.0,0.0,0.0,MOTOR VEHICLES,"Violation of passenger restrictions imposed on learner s permit holders who are 16 or 17 years old (effective through December 31, 2012)"
14-36(c)(3)*,158.0,75.0,10.0,0.0,0.0,35.0,38.0,0.0,0.0,0.0,MOTOR VEHICLES,Violation of passenger restrictions imposed on youth instruction permit holders who are 16 or 17 years old
14-36(d),158.0,75.0,10.0,0.0,0.0,35.0,38.0,0.0,0.0,0.0,MOTOR VEHICLES,Improper issuance of operators license to a person sixteen or seventeen years of age
14-36(e),158.0,75.0,10.0,0.0,0.0,35.0,38.0,0.0,0.0,0.0,MOTOR VEHICLES,Improper issuance of operators license (1st offense)
14-36(f),158.0,75.0,10.0,0.0,0.0,35.0,38.0,0.0,0.0,0.0,MOTOR VEHICLES,"Operating in violation of LIMITED LICENSE (e.g., without glasses) (1st offense)"
14-36(g),158.0,75.0,10.0,0.0,0.0,35.0,38.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to request information from National Driver Registry and the Commercial Driver License Informa- tion System (1st offense)
14-36(g)*,158.0,75.0,10.0,0.0,0.0,35.0,38.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to note date on which National Driver Registry and CDLIS inquiry was made on driving history record (1st offense)
14-36a(c),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Operation of motor vehicle in violation of license CLASSIFICATION (1st offense)
14-36a(e)+,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Operation of motor vehicle in violation of the CLASSIFICATION of the license issued (1st offense).
14-36g(a)(1),103.0,60.0,8.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Violation of motor vehicle passenger restrictions imposed on persons 16 or 17 years old during the period of six months after issuance of license
14-36g(a)(2),103.0,60.0,8.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Violation of motor vehicle passenger restrictions imposed on persons 16 or 17 years old during the period beginning six months and ending one year after issuance of license
14-36g(a)(3),103.0,60.0,8.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Operation of motor vehicle requiring a public transportation endorsement by a person 16 or 17 years old
14-36g(a)(4),103.0,60.0,8.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Transporting more passengers than number of seat belts in motor vehicle by 16 or 17 year old
14-36g(a)(5),103.0,60.0,8.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Violation of motorcycle passenger restriction imposed on persons 16 or 17 years old during period six months after issuance of license
14-36g(a)(6),103.0,60.0,8.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Operation of motor vehicle by a person 16 or 17 between 11:00 p.m. and 5:00 a.m. of the following day
14-39(a)(1),117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Operation by NONRESIDENT of commercial motor vehicle without a COMMERCIAL DRIVERS LICENSE or in violation of license CLASSIFICATION
14-39(b),117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure of nonresident to display on motor vehicle distinguishing number or mark
14-40a(a)*,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Operating motorcycle without MOTORCYCLE ENDORSEMENT (1st offense)
14-40a(b),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Operation of a motorcycle w/o motorcycle instruction permit in immediate possession (1st offense)
14-40a(b)*,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure of person with motorcycle instruction permit to wear protective headgear while operating a motorcy- cle (1st offense)
14-40a(d)*,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Misuse of LIMITED motorcycle ENDORSEMENT (1st offense)
14-41(c),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,FAILURE TO RENEW operators license
14-43,150.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,MOTOR VEHICLES,OBTAINING an operators license BY FRAUD
14-43*,150.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,MOTOR VEHICLES,FAILURE TO RETURN fraudulent operator's license
14-44(a),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Operating a commercial motor vehicle, school bus, students transportation vehicle, taxicab, motor vehicle in livery service, motor bus, activity vehicle, or service bus WITHOUT APPROPRIATE LICENSE and ENDORSEMENT."
14-44(d),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Violation of DMV public passenger endorsement arrest report regulations
14-44a,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Operating commercial motor vehicle without a commercial driver's license (1st offense)
14-44j(a),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure of person who holds C.D.L. to notify Commissioner of DMV of conviction
14-44j(b),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure of person who holds C.D.L. to notify employer of conviction
14-44j(c),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Failure of employee to notify employer of suspension, revocation, cancellation, disqualification or out of service order"
14-44j(d),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure of person to provide prospective employer with required information re: employment as driver of commercial motor vehicle
14-44j(e),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure of employer to require applicant to provide required information re: employment as driver of com- mercial motor vehicle
14-44j(f),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Employer permitting or requiring driver of commercial motor vehicle to drive during period of suspension, revocation, cancellation, disqualification, when subject to out of-service order, or when driver has more than one driver's license"
14-45(a)(1),117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure of holder of motor vehicle license to notify of CHANGE OF ADDRESS
14-45(a)(2),117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure of holder of identity card to notify of change of address.
14-48a(b),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Registration of commercial truck tractor specifying EXCESSIVE GROSS VEHICLE WEIGHT
14-49,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Violation of motor vehicle registration REGULATION
14-50a,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Illegal disclosure of motor vehicle operator information
14-58,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Violation of car dealer/repair regulations
14-61,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure of dealer to return number plates or registration applications
14-65f,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Failure of motor vehicle repair shop to perform repairs without properly receiving customers authorization after an adequate estimate has been provided,or to perform work in excess of estimate without custom- ers authorization"
14-65g,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure of motor vehicle repair shop to follow proper procedures regarding customers waiver of right to an estimate of costs for parts and labor or failure to notify customer if there is a charge to produce an esti- mate or diagnosis
14-65h(a),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Improper or incomplete invoice or written warranty provided to customer by motor vehicle repair shop
14-65h(b),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Failure of motor vehicle repair shop to make available to customer replaced parts, components or equipment"
14-65i,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure of motor vehicle repair shop to properly display sign informing customer that the shop is licensed and apprising the customer of their rights
14-66(b),50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Violation of wrecker equipment regulations
14-66a,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to display wrecker registration identification
14-66b,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to maintain wrecker records
14-66c,117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,"Failure of licensee or operator of wrecker to comply with notice, sale or disposal requirements regarding towing or removal of motorized personal property."
14-67a,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Manufacture of motor vehicle without license
14-80(a),225.0,150.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,MOTOR VEHICLES,"Unnecessary or unusual noise, operating causing"
14-80(b),225.0,150.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,MOTOR VEHICLES,Improper muffler; defective muffler installation
14-80(c),225.0,150.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,MOTOR VEHICLES,Excessive fumes or exhaust smoke
14-80(d),225.0,150.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,MOTOR VEHICLES,Exhaust pipe requirements
14-80(e),225.0,150.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,MOTOR VEHICLES,Defective horn
14-80(f),225.0,150.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,MOTOR VEHICLES,Using a siren without a permit
14-80a(a),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Exceeding decibel noise levels
14-80a(b)*,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Sale of vehicle which exceeds established decibel levels
14-80b(a),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Ball joints, tie-rod ends, concealing play or motion"
14-80b(b),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Operating motor vehicle with concealed ball joints/tie rods
14-80h(a),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure of motor vehicle to be equipped with two braking systems
14-80h(b),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Ineffective or improper service brake system
14-80h(c),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Ineffective parking brake system
14-80h(d),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Improper construction of braking system
14-80h(e),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Registering a motor vehicle with inadequate brakes
14-80h(f),250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Operating a motor vehicle with a gross vehicle weight greater than 9999 pounds with defective brakes
14-80i(a),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Motorcycle brakes, defective"
14-80i(b),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Motorcycle HANDLEBARS, excessive height"
14-81(a),117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Improper brakes on trailers
14-81a,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Hydraulic brake fluid, sale or service with nonstandard fluid"
14-96a(a),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to have lights lit and devices ILLUMINATED
14-96b,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to have HEADLAMPS
14-96c,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to have TAIL LAMPS or to illuminate rear registration PLATES
14-96d,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to have reflectors
14-96e,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to have STOP LAMP or TURN SIGNALS
14-96f,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Failure to equip buses, trucks, trailers, truck tractors as required"
14-96g,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to have REFLECTORS or lighting devices of PROPER COLOR
14-96i,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"VISIBILITY OF REFLECTORS and LAMPS, failure to comply"
14-96j,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to have proper FRONT or REAR lights on COMBINATION vehicles
14-96k,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,EXTENDED LOAD of more than 4 feet without red flag; projecting loads; improper carrying of ANIMALS
14-96l,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Failure to have proper head and rear lights, lights on PARKED vehicle"
14-96m,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to have proper lamps on FARM vehicles
14-96n,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to have proper lighting devices on other vehicles LEADING ANIMALS
14-96o,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Limitation on SPOT Lamps, FOG Lamps, AUXILIARY Lamps"
14-96p,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Use of unauthorized COLORED or WHITE lights
14-96q,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Use of improper HIGH BEAMS, RED Lights, FLASHING Lights"
14-96r,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Improper COLOR OF STOP LAMPS and TURN SIGNALS
14-96s,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Improper FENDER, BACK-UP or IDENTIFICATION lamps"
14-96t,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,MULTIPLE-BEAM road light requirements
14-96u,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Improper use of HIGH BEAM of lights
14-96x,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"Motorcycles, improper HEADLAMPS"
14-96y,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Improper number of headlights
14-96z,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Improper use of ADDITIONAL lamps
14-96aa,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Lamp requirements for snow removal and highway maintenance equipment
14-97,117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,No defroster on motor vehicle used to transport passengers for hire or school bus
14-97a,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Improper EMERGENCY LIGHTS/failure to carry
14-98,117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Tire and wheel requirements (up to 4 tires = 1 violation) (1st offense)
14-98a,92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Operating with unsafe tires
14-99,117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Failure to have mirror
14-99*,117.0,50.0,7.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,MOTOR VEHICLES,Operating a motor vehicle with a commercial registration below limit to allow passing
14-99f(a),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Defective windshield or wipers
14-99f(b),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Windshield obstructing view
14-99f(c),92.0,50.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,"ARTICLES, device, sticker or ornament obstructing view"
14-99g(b),136.0,90.0,11.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,MOTOR VEHICLES,Operation of vehicle with obstructed view; placement on vehicle windows of material altering color or reducing light transmittance
